Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13
Annotation Cluster 1,Enrichment Score: 11.910638323163417,,,,,,,,,,,
Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_FAT,GO:0008283~cell proliferation,169,17.845828933474127,6.94639308030757E-16,"SEMA5A, SCARB1, NRK, RTKN2, TNC, DIXDC1, MKI67, IGF1R, CDH3, SALL1, CCND2, CCND1, PTTG1, MYC, CHEK1, SOX9, SKP2, SLC16A2, PITX2, SOX4, SOX5, CDON, TPD52, VASH2, SOX11, FOXP2, CLDN5, SFRP1, MELK, CCNE1, CD109, ROR2, KIF20B, TOX, ZFPM2, MAD1L1, FTO, MEG3, DNMT1, BEX1, MAGED1, GATA6, AKR1C18, RTN4, ZFP36L1, STK3, CNN1, BRIP1, RACGAP1, FIGNL1, RSU1, MYH10, CD276, LYN, CBX8, BCL11B, H3F3B, VDR, TNFRSF9, IGF2, FN1, CDC7, DHCR24, SMARCA1, SMAD6, BMP7, PBX1, AZIN1, H19, CNOT6, CDK6, ID2, DLG5, CDK2, CDK1, PEMT, STRN, EZH2, DDR1, CDKN1C, COL18A1, KDM5B, BMP10, RIAN, CDKN1B, BTG1, MCM7, CDCA7L, NCAPG2, DOCK7, HMGB2, MCM10, PTH1R, PTPRK, HMGB1, GLI3, PTPRF, GLI2, CKS1B, ROBO1, CD1D1, UCHL1, MDK, CASP3, SIX2, HEY2, NCK2, KIF1A, TCF19, VAV3, KLF11, HELLS, ATPIF1, TET1, PTBP2, MTSS1, CCNA2, MMP12, ASPM, MMP14, ELF4, ALDH1A2, BIRC5, ARHGEF2, DBN1, ZFP423, SRC, UHRF1, PTN, HMGCR, THBS1, THBS4, AURKB, 2810429I04RIK, GNG2, ERBB4, ERBB2, TBX20, GPC3, IGF2BP1, E2F1, SH3BP4, AY036118, NCAM1, SLIT3, SLIT2, E2F7, E2F8, TCF7L2, GDF11, RRM1, MARCKSL1, NPM1, RRM2, ATAD5, NFYA, VEGFC, MEIS2, SHCBP1, TBX18, CD24A, REST, COL3A1, MEIS1, PRC1, TACC3, SPRY2, VIM, SSBP3",830,2145,19632,1.8635706462212487,4.944711307075522E-12,3.0327134965907517E-13,2.7920414069259776E-13
GOTERM_BP_FAT,GO:0042127~regulation of cell proliferation,144,15.205913410770854,8.888853513735404E-13,"SEMA5A, NRK, RTKN2, TNC, IGF1R, CDH3, SALL1, CCND2, CCND1, PTTG1, MYC, CHEK1, SOX9, SKP2, SLC16A2, PITX2, SOX4, CDON, TPD52, VASH2, SOX11, FOXP2, CLDN5, SFRP1, CFDP1, CCNE1, CD109, TXNIP, ROR2, KIF20B, TOX, ZFPM2, MAD1L1, FTO, MEG3, DNMT1, BEX1, MAGED1, GATA6, CDCA7, AKR1C18, RTN4, ZFP36L1, STK3, CNN1, BRIP1, RSU1, CD276, LYN, CBX8, BCL11B, VDR, TNFRSF9, IGF2, FN1, CDC7, DHCR24, SMARCA1, SMAD6, BMP7, PBX1, AZIN1, SQLE, H19, CNOT6, CDK6, ID2, DLG5, CDK2, CDK1, PEMT, STRN, DHCR7, EZH2, DDR1, CDKN1C, COL18A1, KDM5B, BMP10, RIAN, CDKN1B, BTG1, CDCA7L, HMGB2, PTH1R, PTPRK, HMGB1, GLI3, PTPRF, GLI2, ROBO1, CD1D1, MDK, CASP3, SIX2, HEY2, NCK2, VAV3, KLF11, ATPIF1, TET1, PTBP2, MTSS1, CCNA2, MMP12, ASPM, ALDH1A2, BIRC5, ZFP423, SRC, UHRF1, PTN, HMGCR, THBS1, THBS4, ERBB4, ERBB2, TBX20, GPC3, E2F1, SH3BP4, AY036118, NCAM1, SLIT3, SLIT2, E2F7, TCF7L2, GDF11, MARCKSL1, NPM1, RRM2, ATAD5, NFYA, VEGFC, MEIS2, SHCBP1, TBX18, CD24A, REST, MEIS1, PRC1, SPRY2, VIM, SSBP3",830,1866,19632,1.8253128268701817,6.597893120741105E-9,1.783055966998491E-10,1.6415550286311895E-10
GOTERM_BP_FAT,GO:0008284~positive regulation of cell proliferation,90,9.503695881731785,3.0024786363550227E-9,"SEMA5A, COL18A1, KDM5B, BMP10, CDKN1B, CDCA7L, RTKN2, HMGB2, TNC, PTH1R, HMGB1, GLI3, IGF1R, GLI2, CD1D1, CDH3, CCND2, CCND1, MDK, MYC, SIX2, HEY2, NCK2, SOX9, SKP2, PITX2, SOX4, CDON, VAV3, TPD52, VASH2, TET1, SOX11, FOXP2, CCNA2, MMP12, ASPM, CLDN5, SFRP1, CCNE1, ALDH1A2, KIF20B, TOX, ZFPM2, ZFP423, DNMT1, BEX1, SRC, GATA6, AKR1C18, PTN, HMGCR, THBS1, THBS4, RTN4, ERBB4, TBX20, ERBB2, E2F1, AY036118, NCAM1, RSU1, CD276, LYN, CBX8, TCF7L2, MARCKSL1, NPM1, RRM2, ATAD5, NFYA, IGF2, FN1, VEGFC, CDC7, MEIS2, TBX18, PBX1, AZIN1, CD24A, CNOT6, MEIS1, CDK6, PRC1, ID2, CDK2, CDK1, VIM, SSBP3, EZH2",830,1105,19632,1.9264896690835742,2.228715031216133E-5,2.321291295731977E-7,2.1370767210639446E-7
,,,,,,,,,,,,
Annotation Cluster 2,Enrichment Score: 10.71143221546332,,,,,,,,,,,
Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_FAT,GO:0007010~cytoskeleton organization,132,13.938753959873285,3.1706549361606963E-16,"SEMA5A, NRK, DIXDC1, CELSR1, ANTXR1, EPS8, D7ERTD443E, SAMD14, TUBB5, CAPN6, OPHN1, INSC, CFL1, CHEK1, STMN1, DPYSL3, NUSAP1, ARFIP2, HMCN1, SOX9, TMSB10, NCKAP5, GAS2L3, TPM3, PRKCE, ACTN1, TPM2, KRT7, ACTN4, MID1, EML4, SFRP1, KATNAL2, DAAM2, FSCN1, ELMO1, EZR, PHLDB2, MYL9, ARHGAP18, CNN3, CORO1C, CNN1, RACGAP1, CALD1, MICAL1, FIGNL1, CEP72, ECT2, MYH10, PLXNA3, PLK4, SPECC1, STIL, PLK2, MICAL2, DSTN, ARHGAP28, PARVA, AZIN1, ANLN, TPX2, VANGL2, CDK2, CNTROB, BMP10, CDKN1B, ELN, DOCK7, CHD3, BRCA1, KIF11, PPP1R9A, RND3, SIPA1L1, TUBA1A, CSRP2, CSRP1, MDK, SH3PXD2B, NCK2, MYBL2, YWHAH, SHROOM2, NAV1, KIF23, MTSS1, PARD3B, CIT, ASPM, TUBB2B, PSRC1, ESPL1, SYNPO2L, CTTN, KIFC1, INCENP, TNNT1, RHOJ, BIRC5, KIF2C, CASQ1, ARHGEF2, IFT46, SMTNL2, DOCK1, DBN1, SRC, PDXP, GNAI1, AURKB, AURKA, TPM3-RS7, CTNNA3, SLIT2, WASF1, FARP1, MARCKSL1, NPM1, SPAG5, NCKAP5L, WTIP, CENPE, MARCKS, PRC1, CCDC8, TACC3, SPRY2, VIM, AGRN, MAD2L1, SPC25",830,1490,19632,2.095434624403655,2.472355653537761E-12,1.5688400624123125E-13,1.4443390119190693E-13
GOTERM_BP_FAT,GO:1902589~single-organism organelle organization,150,15.839493136219641,1.0425295464275886E-14,"SEMA5A, ARL6IP1, ZWILCH, NRK, BUB1B, FNBP1L, ANTXR1, SMC4, SMC2, EPS8, SAMD14, SYNGAP1, PTTG1, OPHN1, CHCHD6, MYC, CFL1, STMN1, DPYSL3, DZIP1L, NUSAP1, ARFIP2, HMCN1, TMSB10, NCKAP5, UNC13B, GAS2L3, TPM3, PRKCE, STX8, ACTN1, TPM2, NSMCE2, KRT7, VRK1, ESCO2, ACTN4, MID1, EML4, SFRP1, KATNAL2, DAAM2, KCNQ1, FSCN1, ELMO1, DNA2, EZR, PHLDB2, MYL9, MAD1L1, STXBP1, CDCA8, ARHGAP18, CPLX2, NCAPH, RTN4, CNN3, CORO1C, CNN1, DSN1, BCL2L11, RACGAP1, CALD1, MICAL1, FIGNL1, VTI1A, STXBP6, ECT2, ATG7, MYH10, PLK4, SPECC1, STIL, UBE2C, CCDC136, MICAL2, DSTN, ARHGAP28, PARVA, ANLN, TPX2, VANGL2, CDK1, TOP2A, BMP10, CDKN1B, ELN, GRIK5, NCAPG2, CEP164, PPP1R9A, RND3, SIPA1L1, CSRP2, CSRP1, MDK, SH3PXD2B, NCK2, BBS9, BBS7, VAV3, ATPIF1, SHROOM2, KIF23, KIF22, DYNLL1, MTSS1, ZDHHC15, CIT, SFPQ, RAD51C, PSRC1, ESPL1, SYNPO2L, CTTN, KIFC1, INCENP, TNNT1, RHOJ, BIRC5, KIF2C, CASQ1, ARHGEF2, IFT46, SMTNL2, DOCK1, DBN1, ZFP423, SRC, PDXP, HDAC8, NSL1, AURKB, NKD2, TPM3-RS7, CTNNA3, SLIT2, WASF1, FARP1, MARCKSL1, SPAG5, NCKAP5L, CENPE, MARCKS, PRC1, TACC3, VIM, TRIP13, ATXN10, MAD2L1",830,1869,19632,1.8983155736912336,7.746714381084985E-11,3.684597282659792E-12,3.3921925670189113E-12
