"","gene_short_name","P0","P4","P7","Ad"
"1","0610005C13Rik",0.5580115,0.710306,0.379772,0.2621205
"2","0610007C21Rik",44.1345,37.41465,35.04205,32.71245
"3","0610007L01Rik",13.99575,15.0268,15.07435,14.81135
"4","0610007N19Rik",5.48265,5.745995,6.12204,3.666115
"5","0610007P08Rik",8.55663,6.946165,5.271535,4.266265
"6","0610007P14Rik",13.5456,11.109315,6.71544,4.75302
"7","0610007P22Rik",6.531745,6.12316,4.97066,3.844335
"8","0610008F07Rik",0,0,0,0
"9","0610009B14Rik",0,0,0,0
"10","0610009B22Rik",13.47665,13.3891,17.74755,18.7207
"11","0610009D07Rik",22.41445,26.3263,20.77315,15.71895
"12","0610009L18Rik",6.662385,4.019575,5.61681,7.874
"13","0610009O20Rik",28.7411,30.36145,29.96665,39.0417
"14","0610010F05Rik",5.86201,8.939945,7.63546,5.671695
"15","0610010O12Rik",23.7228,28.0031,28.52895,43.20895
"16","0610011F06Rik",7.202225,5.430905,4.65494,5.739945
"17","0610011L14Rik",5.47002,5.32887,5.140365,5.73382
"18","0610012D04Rik",0.0984785,0.140932,0.102143,0.356077
"19","0610012G03Rik",27.9442,33.88825,32.7312,35.71085
"20","0610012H03Rik",1.5015525,0.07658095,0.0744925,0.0542785
"21","0610025J13Rik",0.1439499,0.7394395,0.796028,0.419211
"22","0610030E20Rik",5.502455,5.59151,5.70949,3.953595
"23","0610031J06Rik",33.27205,35.9101,36.98625,25.9903
"24","0610037L13Rik",29.51345,32.2621,28.40475,22.9391
"25","0610037P05Rik",26.0012,38.6869,43.628,44.07825
"26","0610038L08Rik",0.3769612,0.0513362,0.1953865,0.1397814
"27","0610039K10Rik",1.6052395,0.7767395,0.9215155,0.3122895
"28","0610040B09Rik",0,0,0.051065,0
"29","0610040B10Rik",3.613385,2.165235,2.4143,2.62828
"30","0610040F04Rik",0.1769038,0.0177946,0.02362505,0.0152357
"31","0610040J01Rik",0.287745,0.0752955,0.12487275,0.329449
"32","0610043K17Rik",0.3254681,0.1550525,0.04666675,0.1163603
"33","0910001L09Rik",29.3036,34.191,33.58975,29.91075
"34","1010001B22Rik",0.7057245,1.0287885,0.8147295,0.3900005
"35","1010001N08Rik",26.7641,9.624805,7.115445,4.920455
"36","1100001G20Rik",0.298982,0,0.129922,0.438423
"37","1110001A16Rik",4.83495,4.61222,5.01176,6.81681
"38","1110001J03Rik",89.14335,91.82105,90.0377,140.2015
"39","1110002B05Rik",30.88765,35.96365,32.7401,27.0379
"40","1110002E22Rik",20.65055,23.84255,21.3718,17.8719
"41","1110002J07Rik",0.4140535,0.335728,0.2926655,0.09041875
"42","1110002L01Rik",4.517395,4.333865,2.9114,2.464495
"43","1110002N22Rik",10.3462,9.12643,10.088895,14.3015
"44","1110003E01Rik",25.44585,27.5815,28.6257,30.9105
"45","1110004E09Rik",15.8274,14.0767,12.0165,12.50385
"46","1110004F10Rik",42.4613,41.82805,37.6774,24.67725
"47","1110006G14Rik",0.12545895,0.835255,1.0090215,1.085094
"48","1110007C09Rik",45.48245,39.02215,30.1499,49.87925
"49","1110008E08Rik",0,0,0,0
"50","1110008F13Rik",21.40365,23.45985,22.6632,17.135
"51","1110008J03Rik",6.835715,6.91412,5.831095,6.519045
"52","1110008L16Rik",3.94006,3.242695,2.704395,2.687775
"53","1110008P14Rik",12.7831,15.835,16.00915,16.63855
"54","1110012J17Rik",2.778695,1.6436,1.38609,1.606196
"55","1110012L19Rik",6.156135,6.87257,5.982175,4.946355
"56","1110017D15Rik",0,0,0.048512,0.103049
"57","1110017F19Rik",0.3167255,0.6215535,0.282672,0.1441745
"58","1110018G07Rik",17.0089,13.0084,12.25725,9.282505
"59","1110018J18Rik",28.572,20.87185,20.9549,17.67695
"60","1110018N20Rik",1.485575,3.0448,3.5512,3.276695
"61","1110019D14Rik",5.115125,2.37775,2.51457,2.600895
"62","1110020A21Rik",0.83701,0.521243,0.688007,0.922477
"63","1110020G09Rik",29.64205,24.84505,20.9409,23.6873
"64","1110021J02Rik",9.00791,8.51326,7.166415,5.35808
"65","1110021L09Rik",4.10785,5.36378,4.53039,3.12352
"66","1110025L11Rik",0,0,0,0
"67","1110028C15Rik",6.89146,7.82786,7.39138,7.908415
"68","1110028F11Rik",0,0,0,0
"69","1110031I02Rik",7.45497,7.06114,5.97774,6.710045
"70","1110032A03Rik",5.77547,7.032165,6.643805,7.10086
"71","1110032A04Rik",0,0,0,0
"72","1110032F04Rik",1.59374,1.0408255,0.5385865,0.08817225
"73","1110034A24Rik",3.843355,4.13282,2.353575,1.67049
